event|szenerie|beschriftung_hintergrund_1|beschriftung_hintergrund_2|beschriftung_hintergrund_3|vordergrund|mittelgrund|hintergrund|raum_location
Freshman Orientation|high school main lobby on orientation morning, folding tables with welcome packets, small groups of parents and staff|red vinyl banner with white college-serif print "READING HIGH SCHOOL" and subtitle "Welcome Class of 2029"|white poster board with hand-drawn red arrows and marker print "FRESHMAN ORIENTATION" and subtitle "Start Here"|red table-skirt sign with white block print "RED KNIGHTS PRIDE" and subtitle "Orientation Day 2025"|subject.|row of folding tables with welcome packets, lanyard trays and bottled water. a few parents talking in small groups.|glass trophy cases along a painted cinder-block wall, red double doors leading to the gym.|main lobby of a large american high school, bright morning light through entrance glass.
Back to School Night (Open House)|evening open house in a school hallway, parents mingling outside classrooms, sign-in table by the door|green fabric banner with white varsity print "WILSON BULLDOGS" and subtitle "Back to School Night"|rolling whiteboard easel with marker print "Welcome Parents!" and subtitle "Room Tours 6-8 PM"|taped paper hallway sign with black laser print "OPEN HOUSE" and an arrow subtitle "Gymnasium this way"|subject.|classroom doorway with parents mingling, small table with sign-in sheets and a cup of pens.|row of green lockers and cork bulletin boards covered with student artwork, warm fluorescent light.|high school hallway outside decorated classrooms, evening, windows dark outside.
Student Council — Event Crew|school gym half-decorated for homecoming, ladders, balloon arch, student council crew taping banners|hand-painted paper banner with tempera print "HOMECOMING 2025" and subtitle "Tickets at the Door"|red-and-white balloon arch over a table sign with print "STUDENT COUNCIL"|glitter poster with bubble-letter print "SPIRIT WEEK" and subtitle "Friday Pep Rally"|subject.|folding tables with rolls of crepe paper, scissors and tape guns, a step ladder standing half-open.|gym wall with retracted bleachers, strings of fairy lights half hung, basketball hoop folded up to the ceiling.|high school gymnasium during event build-up, afternoon light from high windows.
National Honor Society Induction|formal evening ceremony in a school auditorium, candle table on stage, rows of seated families|navy stage banner with gold serif print "NATIONAL HONOR SOCIETY" and subtitle "Induction Ceremony 2025"|easel board with gold script print "NHS" and subtitle "Scholarship - Service - Leadership - Character"|program table sign with black serif print "Reading Chapter" and subtitle "Please Take One"|subject.|skirted table with four white candles and a certificate stack, wooden podium with microphone.|closed velvet stage curtain in deep red, soft spotlights from above.|school auditorium stage during an evening ceremony, dim house lights.
Peer Tutoring / Peer Mentor|after-school tutoring corner in the school library, whiteboard with math notes, two-seat study tables|cork bulletin board with cut-paper print "PEER TUTORING CENTER" and subtitle "Math - Science - English"|laminated door sign with blue print "TUTORING TODAY 3-5 PM" and subtitle "Walk-ins Welcome"|motivational poster with bold print "ASK. LEARN. PASS IT ON."|subject.|two-seat study table with open textbooks, graphing calculator and loose worksheets.|library shelving with labeled spines, a rolling whiteboard covered in algebra notes.|learning commons corner of a school library, quiet afternoon.
Reading-Berks Science & Engineering Fair|regional science fair in a college field house, long rows of tables with tri-fold display boards|wide blue banner with white sans-serif print "READING-BERKS SCIENCE AND ENGINEERING FAIR" and subtitle "2025 Finals"|table sign with black print "CATEGORY: BEHAVIORAL SCIENCE" and subtitle "Judging in Progress"|tri-fold display board with printed title "SOLAR CELL EFFICIENCY" and hand-cut construction-paper lettering|subject.|long banquet tables in rows, each with a tri-fold poster board, printed charts and a small prototype model.|field house wall with retracted basketball hoops and championship pennants, judges with clipboards in the distance.|college field house hosting a regional science fair, bright even lighting.
Debate / Speech Tournament (PHSSL)|weekend speech and debate tournament in a host school, classroom round rooms and a cafeteria tab room|taped paper wall sign with black print "PHSSL DISTRICT TOURNAMENT" and subtitle "Round 3 - Room 214"|dry-erase board with marker print "LINCOLN-DOUGLAS PAIRINGS" and a hand-drawn grid|cafeteria banner with print "WELCOME DEBATERS" and subtitle "Hosted by Berks County Schools"|subject.|classroom desks rearranged with a speaker podium up front and two judge desks with ballots and timers.|chalkboard with a posted round schedule, american classroom flag in the corner, coats piled on rear desks.|high school classroom converted into a debate round room, saturday morning.
FIRST Robotics Competition (FMA District)|district robotics event in an arena, game field behind clear polycarbonate walls, pit rows with team stations|stage-truss banner with white print "FIRST ROBOTICS COMPETITION" and subtitle "FMA District Event - Reading 2025"|pit station header with large number print "TEAM 5113" and subtitle "Pit Crew Only"|sponsor wall with mixed logo print and center tagline "STEM STARTS HERE"|subject.|pit table with an open robot chassis, toolbox drawers, battery chargers and a laptop with wiring diagrams.|competition field behind polycarbonate walls, bleachers with team color sections, referee in a striped shirt.|indoor arena floor hosting a district robotics competition, loud and bright.
Theater Production — Stage Crew|backstage wing of a community theater during tech week, prop tables, rope rail, dim blue work lights|stage-door sign with white stencil print "CREW ONLY" and subtitle "Quiet Please"|art-deco show poster with print "THE MUSIC MAN" and subtitle "Genesius Theatre - Reading, PA"|corkboard call sheet with printed grid "TECH WEEK SCHEDULE" and highlighted rows|subject.|prop table with labeled tape sections, a rack of costumes on wheels, coiled stage cables on hooks.|tall black stage curtains and a fly-rail with sandbag weights, glow tape marks on edges.|backstage wing of a historic community theater, dim blue work light.
School Club Fair|school gym lined with folding tables, each club with posters, candy bowls and sign-up sheets|gym banner with multicolor print "CLUB FAIR 2025" and subtitle "Find Your People"|folding-table sign with hand-drawn print "ANIME CLUB" and subtitle "Sign Up Here!"|yellow poster with print "KEY CLUB" and subtitle "Service Above Self"|subject.|folding table with a poster tri-fold, sign-up clipboard, bowl of wrapped candy and club photo collage.|rows of similar club tables along the gym wall, students drifting between them, colorful posters everywhere.|high school gymnasium during an activity fair, midday.
College & Career Fair|arena concourse with rows of college and employer booths, branded tablecloths, brochure stands|step-and-repeat backdrop with print "BERKS COUNTY COLLEGE FAIR" and subtitle "Santander Arena - Fall 2024"|booth header with print "PENN STATE BERKS" and subtitle "Admissions"|table sign with print "CAREER PATHWAYS" and subtitle "Ask Me About Internships"|subject.|college booth with branded tablecloth, brochure fans, pennant flags and a bowl of freebie pens.|long arena concourse with more booths, roll-up banners and slow-moving crowds of visitors.|arena concourse converted into a college fair, fluorescent lighting.
Student Ambassador — Visitor Tour|school main office lobby with visitor check-in desk, pull-up banner, trophy shelf and school crest wall|wall-mounted welcome sign with print "WELCOME VISITORS" beneath a painted school crest|pull-up banner with print "STUDENT AMBASSADORS" and subtitle "Ask Us Anything"|digital hallway screen with print "CAMPUS TOUR STARTS 9:00 AM"|subject.|visitor check-in desk with a sign-in tablet, visitor sticker rolls and a small american flag.|school crest painted on an accent wall, trophy shelf and framed student photos.|main office lobby of a modern high school, morning.
Youth Soccer — Assistant Coach|grass soccer complex on a saturday morning, portable goals, cone drills, parents with camp chairs on the sideline|mesh sideline banner with print "BERKS YOUTH SOCCER LEAGUE" and subtitle "Fall Season 2024"|sandwich board with print "FIELD 3 - U10" and a painted arrow|sponsor board with print "REDNER'S MARKETS" and subtitle "Proud Youth Sports Partner"|subject.|line of training cones and a mesh bag of soccer balls, portable bench with water bottles.|open grass fields with portable goals, distant treeline and parents in folding camp chairs.|outdoor community soccer complex, saturday morning, light haze.
Basketball Tournament — Volunteer|multi-court community gym during a weekend tournament, scorer tables, bracket wall, teams warming up|red-colored banner with white college font print "Reading Baskets" and subtitle "Training Days"|scorer-table skirt with print "BERKS WINTER CLASSIC" and subtitle "Court 2"|wall poster with print "TOURNAMENT BRACKET" and a marker-filled grid|subject.|scorer table with flip-number scoreboard, game sheets and a bin of alternating-color pinnies.|second court beyond a divider curtain, teams warming up, folded bleachers along the wall.|multi-court community recreation gym during a weekend tournament.
