# element: architecture_detail
# format: name | probability | coverage_range | texture

recessed downlight halo | 0.95 | 0.05-0.2 | soft circular pool of light
ceiling-mounted projector beam | 0.85 | 0.02-0.1 | narrow projection cone
inset cove uplighting glow | 0.85 | 0.02-0.1 | warm hidden wall-edge wash
ornate plaster ceiling rosette | 0.7 | 0.05-0.15 | deep-relief decorative medallion
crystal chandelier ornate fixture | 0.65 | 0.1-0.2 | faceted teardrop crystals
brass picture-light strip | 0.6 | 0.02-0.08 | tube-fixture polished post
frameless glass door reveal | 0.7 | 0.05-0.2 | thin polished metal sill
ceiling-edge crown molding | 0.7 | 0.05-0.15 | carved layered profile
painted column-corner reveal | 0.55 | 0.02-0.1 | softly accented plaster edge
ceiling-mounted speaker dot | 0.55 | 0.02-0.05 | small flush black disk
HVAC supply diffuser grille | 0.7 | 0.05-0.15 | white louvered ceiling vent
inset cove edge LED line | 0.55 | 0.02-0.1 | thin glowing accent strip
