# format: print_name | probability | compatible_slots | formality_min-formality_max
cozy plaid | 0.85 | top,bottom,outerwear | 0.0-0.2
small heart pattern | 0.75 | top,bottom | 0.0-0.2
star scatter pattern | 0.65 | top,bottom | 0.0-0.2
moon and cloud pattern | 0.55 | top,bottom | 0.0-0.2
cartoon doodle print | 0.60 | top | 0.0-0.2
small floral print | 0.55 | top,bottom | 0.0-0.2
polka dot pattern | 0.70 | top,bottom | 0.0-0.2
classic stripes | 0.65 | top,bottom | 0.0-0.2
gingham check | 0.55 | top,bottom | 0.0-0.2
solid pastel | 0.75 | top,bottom | 0.0-0.2
checkered pattern | 0.50 | top,bottom | 0.0-0.2
unicorn print | 0.45 | top | 0.0-0.2
