# slot: accessories
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

smooth scrunchie | 0.90 | 0.0-0.2 | satin
oversized claw clip | 0.85 | 0.0-0.2 | plastic
fuzzy hair clip | 0.55 | 0.0-0.2 | plastic
sleep mask | 0.80 | 0.0-0.2 | satin
soft hair tie set | 0.70 | 0.0-0.2 | nylon
phone in fluffy case | 0.65 | 0.0-0.2 | plastic
friendship bracelet stack | 0.65 | 0.0-0.2 | cotton
beaded charm necklace | 0.45 | 0.0-0.2 | plastic
tiny stud earrings | 0.55 | 0.0-0.2 | metal
plush stuffed animal | 0.60 | 0.0-0.2 | cotton
nail polish bottle | 0.45 | 0.0-0.2 | plastic
fuzzy pillow | 0.50 | 0.0-0.2 | fleece
