# slot: accessories
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

sheer hosiery | 0.55 | 0.5-0.75 | nylon
stud earrings | 0.65 | 0.4-0.75 | metal
delicate necklace | 0.55 | 0.4-0.75 | metal
classic watch | 0.55 | 0.4-0.75 | metal,leather
slim belt | 0.55 | 0.4-0.7 | leather
hoop earrings | 0.60 | 0.4-0.7 | metal
layered necklace | 0.50 | 0.4-0.7 | metal
chain belt | 0.35 | 0.4-0.7 | metal
fine neck scarf | 0.30 | 0.5-0.75 | silk
bangle bracelet | 0.40 | 0.4-0.7 | metal
charm bracelet | 0.35 | 0.4-0.7 | metal
