# slot: footwear
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

mirrored chrome stiletto | 0.85 | 0.8-0.95 | leather,metallic
crystal-strap sandal heel | 0.75 | 0.75-0.95 | leather,beaded
sculptural platform heel | 0.65 | 0.75-0.9 | leather,metallic
ankle-wrap stiletto sandal | 0.65 | 0.75-0.95 | leather,satin
jeweled point-toe heel | 0.55 | 0.75-0.95 | leather,beaded
chrome slingback heel | 0.55 | 0.75-0.9 | metallic,leather
statement platform sandal | 0.50 | 0.75-0.9 | leather,metallic
barely-there strappy heel | 0.60 | 0.75-0.95 | leather,satin
paillette-covered heel | 0.45 | 0.75-0.9 | sequin,leather
architectural stiletto sandal | 0.45 | 0.8-0.95 | leather,metal
double-strap ankle heel | 0.50 | 0.75-0.9 | leather,satin
glass-effect stiletto | 0.40 | 0.75-0.9 | leather,metallic
