# slot: footwear
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

pointed-toe pumps | 0.85 | 0.6-0.85 | leather,suede,satin
classic pumps | 0.75 | 0.6-0.85 | leather,suede
high-heel pumps | 0.70 | 0.6-0.85 | leather,suede
stiletto pumps | 0.70 | 0.6-0.85 | leather,suede,satin
almond-toe pumps | 0.60 | 0.6-0.85 | leather,suede
mid-heel pumps | 0.55 | 0.6-0.85 | leather,suede
bow pumps | 0.55 | 0.6-0.85 | satin,leather
ankle-strap pumps | 0.55 | 0.6-0.85 | leather,suede,satin
mary jane pumps | 0.50 | 0.6-0.85 | leather,suede
patent pumps | 0.50 | 0.6-0.85 | leather
sleek pumps | 0.55 | 0.6-0.85 | leather,suede
very-high stiletto pumps | 0.45 | 0.65-0.85 | leather,suede
court shoes | 0.35 | 0.6-0.85 | leather,suede
