# format: fabric_name | formality | family | weight

silk | 0.9 | natural | light
satin | 0.8 | synthetic | light
chiffon | 0.7 | synthetic | light
crepe | 0.7 | synthetic | medium
velvet | 0.8 | natural | medium
wool | 0.8 | natural | medium
cashmere | 0.9 | natural | medium
polyester | 0.5 | synthetic | medium
jersey | 0.5 | knit | medium
leather | 0.7 | animal | medium
suede | 0.7 | animal | medium
faux_fur | 0.7 | synthetic | heavy
cotton | 0.6 | natural | medium
nylon | 0.5 | synthetic | light
metal | 0.7 | accessories | light
