# slot: bottom
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

mini skirt | 0.80 | 0.6-0.85 | satin,crepe,wool
short pencil skirt | 0.75 | 0.6-0.85 | crepe,wool,polyester
pleated mini skirt | 0.65 | 0.6-0.85 | silk,chiffon,polyester
short A-line skirt | 0.60 | 0.6-0.85 | crepe,wool
wrap mini skirt | 0.60 | 0.6-0.85 | silk,satin
structured mini skirt | 0.55 | 0.6-0.85 | crepe,leather
box-pleat mini skirt | 0.50 | 0.6-0.85 | wool,polyester
draped mini skirt | 0.55 | 0.6-0.85 | silk,satin
ruched mini skirt | 0.45 | 0.6-0.8 | satin,polyester
asymmetric mini skirt | 0.45 | 0.6-0.85 | satin,crepe
