# element: props
# format: name | probability | coverage_range | texture

plush rolled pool towel stack | 0.9 | 0.01-0.06 | tightly wound terry cylinders
chilled eucalyptus-water carafe | 0.6 | 0.005-0.03 | frosted glass pitcher
woven cabana cushion set | 0.65 | 0.01-0.05 | neutral linen-covered pillows
iced champagne bucket stand | 0.5 | 0.005-0.03 | polished silver vessel
folded terrycloth robe pair | 0.6 | 0.01-0.05 | monogrammed white bathrobes
orchid arrangement on a side table | 0.5 | 0.005-0.02 | single elegant bloom
tropical fruit-infused water dispenser | 0.55 | 0.005-0.03 | glass beverage station
woven raffia sun-hat pair | 0.5 | 0.01-0.04 | neat matching pair
leather-bound pool menu card | 0.45 | 0.003-0.015 | embossed cover
polished brass room-service bell | 0.4 | 0.003-0.015 | small call fixture
folded cabana throw blanket | 0.5 | 0.01-0.05 | cashmere-soft neutral weave
citrus-scented candle in a stone bowl | 0.4 | 0.003-0.015 | subtle flickering accent
