# slot: footwear
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

very-high stiletto pumps | 0.90 | 0.55-0.85 | leather,suede
pointed-toe pumps | 0.85 | 0.55-0.85 | leather,suede
patent pumps | 0.80 | 0.55-0.85 | leather
stiletto pumps | 0.75 | 0.55-0.85 | leather,suede
high-heel pumps | 0.70 | 0.55-0.85 | leather,suede
ankle-strap pumps | 0.65 | 0.55-0.85 | leather,suede
classic pumps | 0.60 | 0.55-0.85 | leather,suede
sleek pumps | 0.55 | 0.55-0.85 | leather,suede
court shoes | 0.55 | 0.55-0.85 | leather,suede
almond-toe pumps | 0.50 | 0.55-0.85 | leather,suede
crystal-embellished pumps | 0.50 | 0.6-0.85 | satin,leather
bow pumps | 0.40 | 0.55-0.85 | satin,leather
platform stilettos | 0.45 | 0.55-0.85 | leather,suede
