# slot: bottom
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

bodycon mini skirt | 0.85 | 0.55-0.8 | jersey,polyester
mini skirt | 0.80 | 0.55-0.8 | satin,polyester,leather
ruched mini skirt | 0.70 | 0.55-0.8 | satin,polyester,jersey
wrap mini skirt | 0.65 | 0.55-0.8 | silk,satin
structured mini skirt | 0.60 | 0.6-0.8 | leather,crepe
draped mini skirt | 0.55 | 0.55-0.8 | silk,satin
asymmetric mini skirt | 0.55 | 0.55-0.8 | satin,polyester
bandage mini skirt | 0.50 | 0.55-0.8 | jersey,polyester
short pencil skirt | 0.50 | 0.6-0.8 | crepe,polyester
mock croc mini skirt | 0.45 | 0.55-0.8 | leather
