# slot: top
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

slip camisole | 0.85 | 0.55-0.8 | silk,satin,polyester
spaghetti-strap camisole | 0.75 | 0.55-0.8 | silk,satin
silky cami blouse | 0.70 | 0.55-0.8 | silk,satin
draped cowl-neck top | 0.65 | 0.55-0.8 | silk,satin,chiffon
sleeveless shell | 0.60 | 0.55-0.8 | silk,satin,polyester
fitted bodysuit | 0.60 | 0.55-0.8 | jersey,polyester
asymmetric one-shoulder top | 0.55 | 0.6-0.8 | silk,jersey
halter neck top | 0.55 | 0.55-0.8 | satin,polyester
backless bodice | 0.50 | 0.6-0.8 | satin,polyester
sheer mesh blouse | 0.45 | 0.55-0.8 | chiffon,polyester
ruched bandeau top | 0.45 | 0.55-0.8 | jersey,polyester
twisted-front blouse | 0.40 | 0.55-0.8 | silk,satin
