# format: print_name | probability | compatible_slots | formality_min-formality_max
all-over rhinestone scatter | 0.80 | top | 0.0-0.2
foil shimmer overlay | 0.70 | top | 0.0-0.2
floral applique cluster | 0.65 | top | 0.0-0.2
ombre fade | 0.65 | top,bottom | 0.0-0.2
crystal trim border | 0.65 | top | 0.0-0.2
illusion mesh inset | 0.65 | top | 0.0-0.2
painterly watercolor wash | 0.55 | top | 0.0-0.2
shoulder shimmer accent | 0.60 | top | 0.0-0.2
diagonal sash detail | 0.55 | top | 0.0-0.2
back keyhole cutout | 0.55 | top | 0.0-0.2
galaxy gradient | 0.50 | top | 0.0-0.2
flame motif | 0.40 | top | 0.0-0.2
