# slot: bag
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

structured box clutch | 0.85 | 0.75-0.95 | metal,satin
embellished minaudiere | 0.70 | 0.8-0.95 | beaded,metal
chain-strap clutch | 0.65 | 0.75-0.9 | leather,metal
crystal-top clutch | 0.55 | 0.75-0.95 | metal,beaded
sculptural hardshell clutch | 0.55 | 0.75-0.9 | metal,satin
paillette pouch clutch | 0.50 | 0.75-0.9 | sequin,mesh
chrome envelope clutch | 0.45 | 0.7-0.9 | metallic,leather
jeweled top-handle clutch | 0.45 | 0.75-0.9 | metal,beaded
fringe clutch | 0.40 | 0.7-0.9 | beaded,leather
mirror-finish clutch | 0.40 | 0.75-0.9 | metallic,metal
