# element: architecture_detail
# format: name | probability | coverage_range | texture

shed skids sinking into the soil | 0.45 | 0.05-0.2 | tilted base
fence boards cupped by the sun | 0.5 | 0.1-0.3 | curled grain
gap under the fence dug by something | 0.45 | 0.03-0.1 | excavated scoop
moss on the shed's north side | 0.5 | 0.1-0.25 | green shingle shade
hinges bleeding rust down the door | 0.45 | 0.03-0.1 | orange streaks
mushrooms at the compost edge | 0.4 | 0.03-0.1 | pale clusters
wasp nest started under the eave | 0.35 | 0.02-0.06 | grey paper knuckle
path worn to the compost | 0.5 | 0.1-0.25 | bare dirt line
window of the shed silted blind | 0.45 | 0.03-0.1 | cobwebbed pane
anthill at the fence post base | 0.4 | 0.02-0.08 | sandy crater
stake line from an old bed | 0.35 | 0.05-0.15 | string long gone
