# format: print_name | probability | compatible_slots | formality_min-formality_max
neon highlight panel | 0.55 | top,bottom | 0.0-0.2
tropical palm motif | 0.40 | top,bag | 0.0-0.2
color-block panel | 0.55 | top,bottom,outerwear | 0.0-0.2
heather marl | 0.50 | top,outerwear | 0.0-0.2
faded gradient | 0.50 | top,bottom | 0.0-0.2
splatter print | 0.40 | top,outerwear | 0.0-0.2
contrast piping | 0.45 | top,bottom | 0.0-0.2
team logo | 0.45 | top,outerwear | 0.0-0.2
geometric chevron | 0.40 | top,bottom | 0.0-0.2
tie-dye swirl | 0.45 | top | 0.0-0.2
