# element: background
# format: name | probability | coverage_range | texture

distant turquoise sea horizon | 1.0 | 0.5-0.9 | clear gradient tropical
swaying palm-tree row | 0.95 | 0.4-0.8 | tall arching frond crown
pastel-stuccoed resort facade | 0.85 | 0.3-0.7 | cream rendered wall
distant cliff-top villa cluster | 0.65 | 0.2-0.5 | painted block buildings
fluttering colorful flag bunting | 0.7 | 0.3-0.6 | colored triangular pennants
crisp blue tropical sky | 0.85 | 0.4-0.8 | pastel clear atmospheric
distant catamaran sail tip | 0.55 | 0.1-0.3 | white triangular peak
themed reggae-bar trellis | 0.55 | 0.2-0.4 | painted wood lattice
hammock-string trees row | 0.7 | 0.3-0.6 | strung-between palms
distant snorkeler buoy line | 0.55 | 0.2-0.4 | bright float ball string
hibiscus-blooming hedge mass | 0.7 | 0.3-0.6 | bright tropical flowers
sandstone coral-rock outcrop | 0.65 | 0.2-0.5 | porous warm-toned stone
