# element: midground
# format: name | probability | coverage_range | texture

private bungalow wooden deck | 1.0 | 0.3-0.6 | sun-warmed teak plank surface
ladder descending into lagoon | 0.85 | 0.1-0.3 | wooden rungs over water
glass-bottom inset deck panel | 0.55 | 0.1-0.3 | clear thick laminated panel
rope-railed deck edge | 0.7 | 0.1-0.3 | natural twisted shoreline rope
wooden sun lounger pair | 0.85 | 0.15-0.4 | softly weathered slat frame
thatched bungalow eave overhang | 0.85 | 0.15-0.4 | thick dry palm frond layers
hammock strung between posts | 0.7 | 0.1-0.3 | softly slung knotted netting
small private over-water gazebo | 0.45 | 0.15-0.4 | thatched four-post structure
wooden snorkel storage rack | 0.5 | 0.05-0.15 | simple slat-built holder
inflatable swim ring on deck | 0.45 | 0.05-0.15 | colorful glossy vinyl
deck-mounted outdoor shower | 0.55 | 0.05-0.2 | brushed brass mixer pipe
rolled white towel stack | 0.6 | 0.05-0.15 | softly piled fluffy cotton
