# slot: top
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

sequined bustier | 0.85 | 0.75-0.95 | polyester,satin
beaded bodice | 0.80 | 0.75-0.95 | silk,satin
metallic halter top | 0.75 | 0.7-0.95 | polyester,satin
embellished one-shoulder top | 0.75 | 0.75-0.95 | silk,satin
crystal-embellished bodice | 0.70 | 0.8-0.95 | satin,silk
shimmer wrap top | 0.65 | 0.7-0.9 | satin,charmeuse
fitted strapless bodice | 0.65 | 0.7-0.95 | satin,silk
draped lurex top | 0.60 | 0.75-0.95 | polyester
deep-V plunge top | 0.55 | 0.75-0.95 | satin,silk
backless halter bodice | 0.55 | 0.8-0.95 | silk,satin
sleek high-neck top | 0.55 | 0.7-0.9 | crepe,satin
sparkle-finish camisole | 0.55 | 0.7-0.9 | polyester,satin
asymmetric beaded top | 0.50 | 0.8-0.95 | silk,satin
