# slot: footwear
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

very-high stiletto pumps | 0.90 | 0.75-0.95 | satin,leather
crystal-embellished pumps | 0.85 | 0.75-0.95 | satin
stiletto pumps | 0.85 | 0.7-0.95 | satin,leather
platform stilettos | 0.75 | 0.75-0.95 | satin,leather
pointed-toe pumps | 0.75 | 0.7-0.95 | satin,leather
high-heel pumps | 0.70 | 0.7-0.95 | satin,leather
patent pumps | 0.65 | 0.7-0.9 | leather
ankle-strap pumps | 0.65 | 0.7-0.95 | satin,leather
bow pumps | 0.55 | 0.7-0.9 | satin
classic pumps | 0.55 | 0.7-0.9 | satin,leather
sleek pumps | 0.50 | 0.7-0.9 | satin,leather
almond-toe pumps | 0.50 | 0.7-0.9 | satin,leather
