# element: background
# format: name | probability | coverage_range | texture

painted concrete stairs doubling back up | 1.0 | 0.4-0.8 | grey treads with worn noses
steel handrails in gloss paint | 0.85 | 0.2-0.45 | chipped tube rails
landing with a small wired-glass window | 0.7 | 0.15-0.35 | mesh-embedded pane
fire door with a push bar | 0.7 | 0.15-0.35 | dented steel face
block walls glossy to shoulder height | 0.75 | 0.3-0.6 | two-tone paint line
stair core rising out of sight | 0.6 | 0.3-0.6 | receding zigzag
pipe runs clamped to the wall | 0.5 | 0.1-0.3 | painted-over conduit
underside of the flight above | 0.6 | 0.2-0.4 | shadowed soffit
caged light on each landing | 0.6 | 0.05-0.15 | wire basket glow
dusty corner behind the door swing | 0.5 | 0.1-0.25 | untouched triangle
roof access ladder at the top | 0.35 | 0.1-0.25 | rungs into shadow
