# element: midground
# format: name | probability | coverage_range | texture

clusters of yellow goldenrod | 0.85 | 0.2-0.5 | dense plumes of yellow
patch of wild raspberry canes | 0.8 | 0.2-0.5 | thorned green tangle
elderberry shrub in bloom | 0.7 | 0.2-0.5 | white umbel cluster
fellow forager bending down | 0.65 | 0.1-0.3 | crouched figure with basket
tall dock and yarrow stand | 0.75 | 0.2-0.5 | feathery white-flowered tops
lavender wild bergamot patch | 0.65 | 0.1-0.3 | soft purple bloom cluster
pollinator-buzzing bee swarm | 0.6 | 0.05-0.2 | small bright dotted shapes
wild dandelion seed heads | 0.85 | 0.1-0.3 | translucent puffballs
clearing with violet trillium | 0.55 | 0.1-0.3 | scattered low blooms
weather-stained meadow fence post | 0.5 | 0.05-0.15 | silvered timber upright
weathered hand-painted no-spray sign | 0.45 | 0.0-0.1 | painted board on post
trampled foraging trail bend | 0.65 | 0.1-0.3 | flattened grass strip
scattered burdock burrs | 0.6 | 0.1-0.3 | clinging brown spheres
