# element: architecture_detail
# format: name | probability | coverage_range | texture

cedar plank decking joint | 1.0 | 0.3-0.7 | parallel grooved boards
banded barrel tub strap | 0.95 | 0.2-0.4 | metal hoop on staves
deck rail post finial cap | 0.85 | 0.1-0.3 | shaped timber crown
roof eave overhang above deck | 0.85 | 0.3-0.6 | snow-laden timber lip
hewn timber beam bracket | 0.75 | 0.2-0.4 | corbelled support detail
curved tub edge lip detail | 0.85 | 0.2-0.4 | rolled wooden rim
deck stair tread edge | 0.75 | 0.2-0.5 | rounded plank step
ironwork lantern bracket | 0.7 | 0.1-0.3 | scrolled mounting arm
rough timber pergola joint | 0.7 | 0.2-0.5 | mortise-and-tenon detail
weathered plank knot whorl | 0.75 | 0.05-0.15 | dark grain whirls
