# element: architecture_detail
# format: name | probability | coverage_range | texture

half-timbered fachwerk facade | 1.0 | 0.3-0.7 | dark beam against white plaster
carved wooden window shutter | 0.9 | 0.2-0.4 | painted slat panel
arched stone doorway with keystone | 0.85 | 0.2-0.4 | rusticated voussoirs
weathered clay tile roof edge | 0.8 | 0.2-0.5 | overlapping terracotta with snow
cast iron downpipe along wall | 0.65 | 0.1-0.3 | dark vertical channel
ornate church bell tower window | 0.7 | 0.2-0.4 | arched louvered opening
painted shop sign on bracket | 0.85 | 0.1-0.3 | gilded scroll panel
overhanging snow-laden eave | 0.85 | 0.2-0.4 | thick white-capped fascia
cobblestone pavement border | 0.9 | 0.3-0.7 | rounded patterned setts
low stone garden wall | 0.6 | 0.2-0.4 | dry-laid masonry edge
