# element: architecture_detail
# format: name | probability | coverage_range | texture

recessed cove uplighting halo | 0.85 | 0.02-0.1 | warm hidden wall-edge wash
designer pendant-fixture halo | 0.85 | 0.05-0.15 | sculptural-glass overhead glow
track-light spotlight rail | 0.85 | 0.05-0.15 | row of adjustable spots
brass picture-light strip | 0.7 | 0.02-0.08 | tube-fixture polished post
crystal-chandelier ornate fixture | 0.6 | 0.05-0.15 | faceted teardrop crystals
painted-Manhattan-trim crown molding | 0.6 | 0.05-0.15 | carved layered profile
inset Manhattan-mirror reveal | 0.55 | 0.05-0.15 | thin-edge reflective panel
painted column-corner reveal | 0.55 | 0.02-0.1 | softly accented plaster edge
hand-painted gilt arch border | 0.5 | 0.02-0.1 | softly leafed decorative line
frameless glass partition reveal | 0.65 | 0.05-0.2 | thin-mullion partition
ceiling-edge plaster shadow | 0.55 | 0.02-0.1 | subtly graded reveal line
daylight Manhattan-window glow patch | 0.85 | 0.05-0.2 | graded warm light pool
