# format: fabric_name | formality | family | weight

# hybrid fabrics
nylon | 0.15 | sporty | light
spandex | 0.1 | sporty | light
polyester | 0.2 | sporty | light
mesh | 0.1 | sporty | light
modal | 0.2 | natural | light
bamboo | 0.15 | natural | light
cotton | 0.2 | natural | medium
fleece | 0.1 | casual | medium
canvas | 0.2 | natural | medium
rayon | 0.25 | natural | light
satin | 0.4 | luxury | light
foam | 0.1 | sporty | light
rubber | 0.1 | sporty | medium

# special materials
metal | 0.5 | luxury | heavy
acetate | 0.4 | luxury | light
