# format: print_name | probability | compatible_slots | formality_min-formality_max
tropical floral | 0.80 | top,bottom,outerwear | 0.0-0.2
palm leaf pattern | 0.75 | top,bottom,outerwear | 0.0-0.2
hibiscus print | 0.55 | top,bottom | 0.0-0.2
classic stripes | 0.65 | top,bottom | 0.0-0.2
solid pastel | 0.70 | top,bottom | 0.0-0.2
neon color-block | 0.55 | top | 0.0-0.2
gingham check | 0.45 | top,bottom | 0.0-0.2
tie-dye wash | 0.55 | top,outerwear | 0.0-0.2
seashell pattern | 0.40 | top,outerwear | 0.0-0.2
polka dot pattern | 0.50 | top,bottom | 0.0-0.2
abstract swirl | 0.40 | top | 0.0-0.2
