# element: midground
# format: name | probability | coverage_range | texture

frameless glass shower partition | 1.0 | 0.3-0.6 | crisply polished clear panes
built in stone bench seating | 0.95 | 0.15-0.3 | smoothly carved cool stone
overhead rainfall shower head fixed | 0.95 | 0.05-0.15 | softly polished chrome disc
chromotherapy ceiling light panel | 0.7 | 0.1-0.25 | softly glowing color shift
teak slat shower bench | 0.75 | 0.1-0.25 | warmly grained slatted timber
recessed shower control panel | 0.85 | 0.05-0.15 | crisply machined polished metal
matte black handheld shower | 0.85 | 0.02-0.08 | smoothly powder coated metal
shower body jet column | 0.7 | 0.1-0.25 | softly polished chrome strip
glass enclosure with steam vent | 0.85 | 0.3-0.6 | smoothly polished clear pane
foot rest niche stone | 0.55 | 0.05-0.1 | smoothly carved cool stone
