# element: background
# format: name | probability | coverage_range | texture

white cabinets with worn pulls | 1.0 | 0.4-0.8 | repainted layers
window over the sink with gauzy curtain | 0.8 | 0.2-0.45 | shell-print fabric
laminate counters in speckled grey | 0.8 | 0.3-0.6 | sun-faded patches
shell decor on the sill | 0.55 | 0.05-0.15 | collected jar
seafood restaurant magnets on the icebox | 0.5 | 0.1-0.3 | crab-shaped clips
open shelf of mixed mugs | 0.55 | 0.15-0.3 | rental assortment
sliding door to the deck | 0.65 | 0.3-0.6 | salt-hazed glass
paper towel holder bolted under a cabinet | 0.5 | 0.03-0.1 | half roll
tide clock on the wall | 0.45 | 0.05-0.12 | novelty dial
rattan bar stools at the counter | 0.55 | 0.2-0.4 | unravelling wraps
ceiling fan with wicker blades | 0.5 | 0.1-0.3 | wobbling pull chain
