# element: architecture_detail
# format: name | probability | coverage_range | texture

school front double doors | 0.85 | 0.1-0.3 | painted institutional entry
mounted security camera | 0.55 | 0.05-0.1 | small dome surveillance
school bell mounted housing | 0.45 | 0.05-0.15 | wall-mounted alarm
painted wheelchair ramp | 0.55 | 0.1-0.3 | painted accessibility slope
wall-mounted school plaque | 0.5 | 0.05-0.15 | bronze dedication marker
canopy entrance overhang | 0.7 | 0.1-0.3 | covered awning structure
brick column support | 0.6 | 0.1-0.3 | stacked masonry pillar
concrete wheelchair-cut curb | 0.55 | 0.05-0.15 | sloped sidewalk edge
tile-paved entrance walk | 0.5 | 0.1-0.3 | patterned floor tile
painted school sign with hours | 0.6 | 0.1-0.25 | placard with schedule
exterior bench bolted to wall | 0.5 | 0.1-0.25 | mounted seat
flagpole base with marker plaque | 0.5 | 0.05-0.15 | concrete base of pole
