# element: background
# format: name | probability | coverage_range | texture

beige painted living room wall | 1.0 | 0.6-1.0 | flat latex builder paint
family photo gallery wall | 0.1 | 0.4-0.8 | mismatched dollar-store frames
oversized flat-screen TV mounted | 0.95 | 0.3-0.6 | matte black LCD panel
tan wallpaper feature wall | 0.55 | 0.4-0.8 | dated textured vinyl
mauve-painted accent wall | 0.55 | 0.4-0.8 | dusty mauve latex
faux-stone fireplace surround | 0.55 | 0.4-0.8 | cultured-stone veneer
sliding-glass door to backyard | 0.6 | 0.3-0.6 | smudged double pane
vinyl-blind covered picture window | 0.7 | 0.3-0.6 | white plastic horizontal slats
wood-look paneling half wall | 0.5 | 0.4-0.8 | dated brown thin sheet
crooked-canvas Marshall's print | 0.6 | 0.3-0.6 | inspirational text on canvas
