# element: background
# format: name | probability | coverage_range | texture

snowy hillside descending steeply | 1.0 | 0.5-1.0 | sweeping white packed slope
crowd of sledders ascending hill | 0.85 | 0.3-0.6 | small bundled figures climbing
dense snow-laden conifer line | 0.95 | 0.4-0.8 | dark frosted green wall
distant village rooftops | 0.7 | 0.3-0.6 | clustered snow-capped gables
overhead pewter winter sky | 0.85 | 0.3-0.7 | uniform soft cloud cover
backdrop of bare hardwoods | 0.85 | 0.4-0.8 | leafless dark vertical cluster
distant ridge silhouette | 0.7 | 0.3-0.6 | jagged dark line
warming hut at top of hill | 0.65 | 0.3-0.6 | small wooden shelter on crest
groomed sledding tracks parallel | 0.85 | 0.4-0.8 | multiple worn snow ruts
flag on tall pole at summit | 0.6 | 0.2-0.4 | bright pennant on staff
distant frozen meadow | 0.65 | 0.3-0.6 | flat white open expanse
neighborhood houses in distance | 0.55 | 0.3-0.5 | snow-roofed homes far off
