# format: fabric_name | formality | family | weight

# casual fabrics
cotton | 0.2 | natural | medium

# mid-range fabrics
chiffon | 0.5 | luxury | light
lace | 0.55 | luxury | light
leather | 0.45 | tough | heavy
wool | 0.5 | natural | heavy

# formal fabrics
velvet | 0.65 | luxury | medium
satin | 0.7 | luxury | light
silk | 0.85 | luxury | light
brocade | 0.8 | luxury | medium
sequin | 0.85 | luxury | medium
lame | 0.85 | luxury | light
faux_fur | 0.6 | luxury | heavy
feather | 0.7 | luxury | light

# special materials
metal | 0.5 | luxury | heavy
