# element: architecture_detail
# format: name | probability | coverage_range | texture

ornate plaster ceiling rosette | 0.9 | 0.05-0.2 | deep-relief decorative medallion
crown molding wall-ceiling cornice | 0.95 | 0.05-0.15 | carved layered profile
crystal chandelier center fixture | 0.85 | 0.1-0.2 | faceted teardrop crystals
tall arched window mullion grid | 0.75 | 0.05-0.2 | leaded glazing bars
brass picture-light over portrait | 0.7 | 0.02-0.08 | tube-fixture hammered brass
carved stone fireplace mantel edge | 0.75 | 0.05-0.2 | intricately chiseled limestone
paneled wainscot reveal shadow | 0.7 | 0.05-0.15 | subtle stile-and-rail line
inset ceiling cove-light glow | 0.6 | 0.02-0.1 | warm hidden uplight
brass stair-handrail terminal | 0.55 | 0.02-0.08 | polished volute knob
painted ceiling fresco corner detail | 0.55 | 0.05-0.15 | softly aged painted scene
warm wall sconce halo | 0.7 | 0.02-0.1 | amber pooled wall light
carved doorway frieze detail | 0.6 | 0.05-0.15 | finely relief-carved wood band
