# element: background
# format: name | probability | coverage_range | texture

deep aegean blue sea horizon | 1.0 | 0.5-1.0 | softly rippled cobalt water
white-cubed cycladic village hillside | 0.9 | 0.4-0.9 | bright stacked whitewashed cubes
distant volcanic island silhouette | 0.65 | 0.3-0.7 | hazy violet ridge form
blue-domed greek chapel | 0.7 | 0.2-0.5 | bright cobalt cupola and white walls
sun-bleached cliff face | 0.7 | 0.3-0.7 | pale chalky striated rock
rolling caldera ridge | 0.6 | 0.3-0.7 | warm rust-toned stratified slope
distant white sailboat far out | 0.5 | 0.1-0.3 | tiny crisp triangular sail
clustered red bougainvillea wall | 0.7 | 0.2-0.5 | dense magenta paper-thin blooms
bright pastel sky band | 0.85 | 0.4-0.8 | softly graduated turquoise wash
small fishing pier in distance | 0.45 | 0.15-0.4 | thin wooden silhouette
windmill ruin on far hill | 0.5 | 0.1-0.3 | weathered conical tower
patchy aromatic scrubland | 0.55 | 0.3-0.6 | dusty silver-green herbal cover
