# format: fabric_name | formality | family | weight

# casual fabrics
knit | 0.25 | casual | medium
cotton | 0.2 | natural | medium
canvas | 0.2 | casual | medium
jute | 0.3 | natural | medium
wicker | 0.3 | natural | medium

# mid-range fabrics
linen | 0.4 | natural | light
suede | 0.4 | tough | medium
leather | 0.45 | tough | heavy
straw | 0.3 | natural | light
plastic | 0.2 | synthetic | light
wool | 0.5 | natural | heavy

# formal fabrics
silk | 0.85 | luxury | light
cashmere | 0.8 | luxury | medium
chiffon | 0.7 | luxury | light
lace | 0.7 | luxury | light
beads | 0.6 | luxury | light
feather | 0.6 | luxury | light

# special materials
metal | 0.5 | luxury | heavy
