# element: midground
# format: name | probability | coverage_range | texture

swings on a metal frame | 0.9 | 0.2-0.5 | chipped paint and chains
sandpit with toys left behind | 0.75 | 0.2-0.5 | damp sand
bench facing the playground | 0.8 | 0.15-0.4 | slatted wood
slide with a worn chute | 0.7 | 0.2-0.5 | scratched plastic
seesaw at rest | 0.5 | 0.15-0.4 | faded painted timber
spring rider on a base | 0.45 | 0.1-0.3 | cracked plastic seat
bin beside the bench | 0.55 | 0.05-0.2 | dented metal
pram parked by the bench | 0.5 | 0.1-0.3 | worn fabric hood
scooters left on the path | 0.5 | 0.05-0.2 | scuffed decks
climbing net between posts | 0.45 | 0.15-0.4 | frayed rope
picnic table to one side | 0.35 | 0.15-0.4 | weathered planks
