# format: fabric_name | formality | family | weight

# performance
spandex | 0.1 | sporty | light
nylon | 0.1 | sporty | light
polyester | 0.15 | sporty | light
mesh | 0.1 | sporty | light

# natural / eco
bamboo | 0.1 | natural | light
modal | 0.1 | natural | light
cotton | 0.15 | natural | medium
rayon | 0.1 | natural | light

# cozy layers
fleece | 0.1 | casual | medium
cashmere | 0.3 | luxury | medium
jersey | 0.1 | casual | light

# accessories
metal | 0.5 | luxury | heavy
wood | 0.1 | natural | light
