# format: fabric_name | formality | family | weight

# water performance
spandex | 0.1 | sporty | light
nylon | 0.1 | sporty | light
polyester | 0.1 | sporty | light
neoprene_smooth | 0.15 | sporty | medium

# beach textiles
cotton_blend | 0.15 | natural | medium
cotton_terry | 0.15 | natural | medium
canvas_woven | 0.2 | natural | medium
jersey_knit | 0.1 | sporty | light
mesh | 0.1 | sporty | light

# functional
rubber | 0.05 | sporty | medium
foam | 0.05 | sporty | light
plastic | 0.05 | sporty | light
polyurethane | 0.1 | sporty | medium
rope_braid | 0.1 | natural | light
