# element: architecture_detail
# format: name | probability | coverage_range | texture

steel-truss ceiling brace | 1.0 | 0.3-0.6 | painted lattice support
glass-curtain wall mullion | 0.95 | 0.2-0.5 | aluminum vertical channel
polished-terrazzo floor seam | 0.85 | 0.3-0.6 | speckled stone flecks
chrome handrail balcony tube | 0.85 | 0.1-0.25 | polished cylindrical bar
backlit gate-letter sign | 0.85 | 0.05-0.2 | illuminated alphanumeric
recessed cove-light strip | 0.85 | 0.15-0.3 | hidden glow trim
floor-strip wayfinding paint | 0.7 | 0.15-0.3 | colored directional band
brushed-steel access door frame | 0.7 | 0.1-0.25 | stainless rectangular trim
suspended-ceiling baffle row | 0.7 | 0.2-0.4 | acoustic panel array
emergency-exit lit signage | 0.85 | 0.05-0.15 | green glowing pictogram
