# element: midground
# format: name | probability | coverage_range | texture

small raised pitch stage | 1.0 | 0.4-0.8 | matte black painted deck
single high stool on stage | 0.85 | 0.1-0.3 | tall metal-framed perch
clear acrylic pitch lectern | 0.8 | 0.2-0.5 | polished transparent panel
investor judging panel desk | 0.85 | 0.3-0.6 | long elevated desk
front row spotlight pool | 0.9 | 0.2-0.5 | bright circular wash
small pitch demo table | 0.7 | 0.1-0.3 | low square presentation surface
adjacent presenter waiting silhouette | 0.6 | 0.05-0.2 | dim figure to side
mid-room audience seating block | 0.85 | 0.4-0.8 | tiered fabric seats
camera tripod at front | 0.7 | 0.05-0.2 | matte black telescoping legs
demo product on plinth | 0.65 | 0.05-0.15 | spotlit display item
floor monitor wedge speaker | 0.65 | 0.05-0.15 | matte mesh grille
ceiling-mounted countdown clock display | 0.7 | 0.05-0.15 | glowing digital readout
side aisle judge silhouette | 0.55 | 0.1-0.3 | seated dim outline
