# format: fabric_name | formality | family | weight
cotton | 0.3 | natural | medium
linen | 0.3 | natural | light
gauze | 0.2 | natural | light
chiffon | 0.4 | synthetic | light
denim | 0.3 | natural | medium
corduroy | 0.3 | natural | medium
suede | 0.3 | animal | medium
leather | 0.3 | animal | medium
wool | 0.4 | animal | medium
flannel | 0.3 | natural | medium
canvas | 0.2 | natural | medium
rubber | 0.2 | synthetic | medium
felt | 0.3 | animal | medium
modal | 0.3 | synthetic | light
raw silk | 0.4 | natural | light
metal | 0.4 | mineral | light
resin | 0.4 | synthetic | light
