# format: fabric_name | formality | family | weight

# performance
spandex | 0.1 | sporty | light
nylon | 0.1 | sporty | light
polyester | 0.15 | sporty | light
mesh | 0.1 | sporty | light

# natural / eco
bamboo | 0.1 | natural | light
modal | 0.1 | natural | light
silk | 0.4 | luxury | light

# cozy
fleece | 0.1 | casual | medium
jersey | 0.1 | casual | light
wool | 0.2 | natural | medium

# accessories
metal | 0.5 | luxury | heavy
wood | 0.1 | natural | light
canvas | 0.1 | casual | medium
leather | 0.3 | tough | medium
suede | 0.3 | luxury | medium
rubber | 0.1 | sporty | medium
jute | 0.1 | natural | medium
