# element: background
# format: name | probability | coverage_range | texture

dark stained wood paneled wall | 1.0 | 0.7-1.0 | rich oiled timber boards
collage of vintage ski posters | 0.9 | 0.4-0.8 | colorful printed lithographs
bottle-lined back bar shelving | 0.95 | 0.5-0.9 | glass rows on dark wood
chalked drinks list slate wall | 0.8 | 0.3-0.6 | black surface with hand text
exposed alpine fieldstone wall | 0.85 | 0.5-0.9 | rough rounded stone backdrop
amber-glowing pendant lit ceiling | 0.85 | 0.4-0.8 | warm hanging globes
mirror behind bar reflecting room | 0.75 | 0.3-0.6 | smoky beveled glass
copper-pressed tile ceiling | 0.7 | 0.4-0.8 | embossed metallic squares
weathered brick accent wall | 0.65 | 0.4-0.8 | aged warm masonry
gallery of skier portraits | 0.65 | 0.3-0.6 | framed black-and-white prints
crowded coat-laden hallway | 0.6 | 0.3-0.6 | layered draped jackets
DJ booth corner with vinyl wall | 0.5 | 0.2-0.5 | record sleeves on display
