# format: fabric_name | formality | family | weight

# casual fabrics
jersey | 0.1 | casual | light
fleece | 0.1 | casual | medium
mesh | 0.1 | sporty | light
nylon | 0.15 | sporty | light
polyester | 0.2 | sporty | light
cotton | 0.2 | natural | medium
denim | 0.2 | tough | heavy
canvas | 0.2 | tough | heavy
knit | 0.25 | casual | medium
crochet | 0.25 | casual | medium
corduroy | 0.3 | casual | medium

# mid-range fabrics
linen | 0.4 | natural | light
suede | 0.4 | tough | medium
leather | 0.45 | tough | heavy
wool | 0.5 | natural | heavy
tweed | 0.55 | natural | heavy

# formal fabrics
chiffon | 0.6 | luxury | light
lace | 0.6 | luxury | light
tulle | 0.6 | luxury | light
satin | 0.65 | luxury | light
organza | 0.65 | luxury | light
taffeta | 0.7 | luxury | medium
velvet | 0.75 | luxury | medium
cashmere | 0.8 | luxury | medium
silk | 0.85 | luxury | light

# special materials (accessories)
metal | 0.5 | luxury | heavy
plastic | 0.1 | sporty | light
rubber | 0.05 | sporty | medium
