# slot: footwear
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

classic pumps | 0.85 | 0.6-0.85 | suede,leather
almond-toe pumps | 0.80 | 0.6-0.85 | suede,leather
pointed-toe pumps | 0.75 | 0.6-0.85 | suede,leather
ankle-strap pumps | 0.70 | 0.6-0.85 | suede,satin
bow pumps | 0.70 | 0.6-0.85 | satin,suede
mary jane pumps | 0.65 | 0.6-0.85 | suede,leather
stiletto pumps | 0.60 | 0.65-0.85 | leather,suede
sleek pumps | 0.55 | 0.6-0.85 | suede,leather
mid-heel pumps | 0.60 | 0.6-0.85 | suede,leather
court shoes | 0.55 | 0.6-0.85 | suede,leather
high-heel pumps | 0.50 | 0.65-0.85 | suede,leather
crystal-embellished pumps | 0.35 | 0.7-0.85 | satin,suede
