# slot: bottom
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

mini skirt | 0.85 | 0.6-0.85 | chiffon,silk,cotton
pleated mini skirt | 0.80 | 0.6-0.85 | chiffon,silk,georgette
short A-line skirt | 0.75 | 0.6-0.85 | cotton,silk,chiffon
ruffled mini skirt | 0.70 | 0.6-0.85 | chiffon,georgette
wrap mini skirt | 0.65 | 0.6-0.85 | silk,cotton
skater mini skirt | 0.60 | 0.6-0.85 | cotton,chiffon
draped mini skirt | 0.55 | 0.65-0.85 | silk,chiffon
box-pleat mini skirt | 0.55 | 0.6-0.85 | chiffon,cotton
ruched mini skirt | 0.50 | 0.65-0.85 | satin,silk
asymmetric mini skirt | 0.50 | 0.65-0.85 | silk,chiffon
short pencil skirt | 0.45 | 0.65-0.85 | cotton,silk
