# element: background
# format: name | probability | coverage_range | texture

wall-length glass-door soda fridge | 1.0 | 0.6-1.0 | backlit beverage cooler
chip rack aisle row | 0.95 | 0.5-0.9 | wire grid with branded bags
coffee station counter backdrop | 0.85 | 0.4-0.8 | stainless drip-machine row
scratch-ticket display behind counter | 0.85 | 0.3-0.6 | colorful printed roll dispensers
cigarette display wall behind cashier | 0.7 | 0.3-0.6 | locked plastic-fronted shelves
slushie machine wall row | 0.8 | 0.3-0.6 | spinning glass cylinder tubs
ATM and lottery kiosk wall | 0.6 | 0.2-0.5 | branded touch terminals
beer cave glass-door wall | 0.7 | 0.5-0.9 | cold case with cans visible
front window with promo decals | 0.85 | 0.4-0.8 | sticker-covered glass
hot food warming case backdrop | 0.7 | 0.3-0.6 | lit deli-style cabinet
