# element: midground
# format: name | probability | coverage_range | texture

flagstone-paved terrace floor | 1.0 | 0.4-0.8 | irregular grey set stone
red-checkered table-cloth round | 0.95 | 0.3-0.6 | bistro pattern fabric
parasol-shaded family table | 0.95 | 0.3-0.6 | round canopy-covered seating
wooden-bench planked seat | 0.85 | 0.2-0.4 | weathered timber slatted
themed planter geranium box | 0.85 | 0.2-0.4 | painted wooden window-flower
cafe-counter outdoor service | 0.7 | 0.15-0.3 | rustic timber bar
hanging-basket flower trough | 0.85 | 0.15-0.3 | colorful blooming planter
themed cuckoo-clock display | 0.5 | 0.05-0.2 | painted carved wooden face
parked hiking-poles propped | 0.7 | 0.05-0.2 | telescoping aluminum rod
backpack-leaning chair | 0.7 | 0.1-0.25 | nylon zippered with straps
themed-bunting flag string | 0.7 | 0.15-0.35 | colored triangular cloth
rustic-stone retaining wall | 0.7 | 0.2-0.4 | dry-stacked grey stone
