# format: fabric_name | formality | family | weight

# performance grippy
spandex | 0.1 | sporty | light
nylon | 0.1 | sporty | light
polyester | 0.15 | sporty | light
mesh | 0.1 | sporty | light

# accent layers
jersey | 0.1 | casual | light
bamboo | 0.1 | natural | light
modal | 0.1 | natural | light
wool | 0.2 | natural | medium

# costume sparkle
satin | 0.3 | luxury | light

# accessories
metal | 0.5 | luxury | heavy
rubber | 0.1 | sporty | medium
leather | 0.3 | tough | medium
canvas | 0.1 | casual | medium
plastic | 0.05 | sporty | medium
foam | 0.05 | sporty | medium
cotton | 0.15 | natural | medium
