# slot: bottom
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

mini skirt | 0.85 | 0.55-0.8 | silk,satin,polyester
draped mini skirt | 0.75 | 0.55-0.8 | satin,silk
ruched mini skirt | 0.70 | 0.55-0.8 | satin,polyester
pleated mini skirt | 0.65 | 0.55-0.8 | chiffon,polyester
wrap mini skirt | 0.65 | 0.55-0.8 | silk,viscose
short A-line skirt | 0.60 | 0.55-0.8 | polyester,crepe
structured mini skirt | 0.60 | 0.55-0.8 | crepe,polyester
short pencil skirt | 0.55 | 0.55-0.8 | crepe,polyester
ruffled mini skirt | 0.55 | 0.55-0.75 | chiffon,polyester
box-pleat mini skirt | 0.50 | 0.55-0.8 | polyester,crepe
embellished mini skirt | 0.50 | 0.6-0.8 | polyester,satin
