# slot: footwear
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

patent pumps | 0.85 | 0.55-0.8 | leather
ankle-strap pumps | 0.85 | 0.55-0.8 | leather,suede
stiletto pumps | 0.80 | 0.55-0.8 | leather,satin
very-high stiletto pumps | 0.75 | 0.6-0.8 | leather,suede
pointed-toe pumps | 0.70 | 0.55-0.8 | leather,suede
classic pumps | 0.70 | 0.55-0.8 | leather,suede
platform stilettos | 0.65 | 0.55-0.8 | leather,suede
crystal-embellished pumps | 0.60 | 0.6-0.8 | satin
bow pumps | 0.55 | 0.55-0.8 | satin,leather
mary jane pumps | 0.50 | 0.55-0.8 | leather,suede
high-heel pumps | 0.55 | 0.55-0.8 | leather,satin
almond-toe pumps | 0.50 | 0.55-0.8 | leather,suede
sleek pumps | 0.50 | 0.55-0.8 | leather,suede
