# slot: top
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

slip camisole | 0.85 | 0.55-0.8 | silk,satin
draped halter top | 0.80 | 0.55-0.8 | silk,satin
cowl-neck cami | 0.75 | 0.55-0.8 | satin,silk
backless top | 0.70 | 0.55-0.8 | silk,satin
fitted bustier | 0.65 | 0.55-0.8 | satin,polyester
ruched bustier top | 0.65 | 0.55-0.8 | satin,polyester
strappy blouse | 0.60 | 0.55-0.8 | chiffon,silk
fitted shell top | 0.60 | 0.55-0.8 | silk,polyester
draped blouse | 0.55 | 0.55-0.8 | silk,chiffon
embellished cami | 0.55 | 0.6-0.8 | satin
asymmetric one-shoulder top | 0.55 | 0.55-0.8 | silk,satin
sheer-panel blouse | 0.50 | 0.55-0.75 | chiffon
sequined shell | 0.50 | 0.6-0.8 | polyester
