# slot: bottom
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

floor-length column skirt | 0.75 | 0.65-0.95 | crepe,silk
tailored pencil midi skirt | 0.65 | 0.6-0.85 | crepe,satin
softly flared A-line gown skirt | 0.65 | 0.65-0.9 | silk,charmeuse
draped wrap midi skirt | 0.55 | 0.6-0.85 | charmeuse,silk
fluted floor-length skirt | 0.55 | 0.65-0.9 | crepe,chiffon
pleated column gown skirt | 0.55 | 0.7-0.95 | crepe,silk
tailored evening trousers | 0.45 | 0.65-0.9 | crepe,satin
asymmetric hem midi skirt | 0.45 | 0.6-0.85 | satin,crepe
softly gathered tea-length skirt | 0.45 | 0.6-0.85 | silk,chiffon
structured sheath skirt | 0.50 | 0.65-0.9 | crepe,satin
subtly draped trumpet skirt | 0.40 | 0.7-0.95 | satin,silk
wide-leg palazzo trousers | 0.35 | 0.6-0.85 | crepe,charmeuse
fit-and-flare midi skirt | 0.40 | 0.6-0.85 | satin,crepe
gently pleated floor-length skirt | 0.40 | 0.7-0.9 | chiffon,silk
