# slot: footwear
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

ankle-strap pumps | 0.90 | 0.55-0.8 | suede,patent
stiletto pumps | 0.85 | 0.55-0.8 | suede,patent
pointed-toe pumps | 0.80 | 0.55-0.8 | suede,patent
high-heel pumps | 0.75 | 0.55-0.8 | suede,patent
platform stilettos | 0.65 | 0.6-0.8 | suede,patent
very-high stiletto pumps | 0.65 | 0.6-0.8 | suede,patent
classic pumps | 0.55 | 0.55-0.8 | suede,patent
almond-toe pumps | 0.55 | 0.55-0.8 | suede,patent
sleek pumps | 0.55 | 0.55-0.8 | suede,patent
patent pumps | 0.55 | 0.55-0.8 | leather
court shoes | 0.45 | 0.55-0.8 | suede,patent
