# slot: bag
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

small structured clutch | 0.80 | 0.65-0.95 | satin,leather
envelope clutch | 0.65 | 0.65-0.9 | satin,leather
sleek top-handle bag | 0.55 | 0.6-0.85 | leather
compact box clutch | 0.55 | 0.65-0.95 | satin,leather
chain-strap evening bag | 0.50 | 0.65-0.9 | leather,satin
small foldover clutch | 0.45 | 0.6-0.85 | leather
structured frame clutch | 0.40 | 0.65-0.9 | satin,leather
slim pouch clutch | 0.40 | 0.6-0.85 | satin
subtly embellished clutch | 0.35 | 0.7-0.95 | beaded,satin
small crossbody clutch | 0.30 | 0.6-0.85 | leather
