# element: background
# format: name | probability | coverage_range | texture

snow-blanketed alpine slope | 1.0 | 0.5-0.9 | smooth white powdery cover
distant chairlift cable line | 0.95 | 0.3-0.6 | sagging steel suspension
pine-tree snow-laden grove | 0.9 | 0.4-0.8 | frosted needled silhouette
chalet-style cluster rooftops | 0.85 | 0.4-0.7 | steep timber A-frame peaks
distant ski-run trail signs | 0.7 | 0.2-0.5 | colored circular markers
overcast pale grey sky | 0.85 | 0.4-0.8 | soft diffused atmospheric
themed alpine clock-tower | 0.55 | 0.2-0.5 | painted timbered face
distant gondola pylon tower | 0.7 | 0.2-0.5 | painted lattice pole
icicle-laden eaves edge | 0.7 | 0.2-0.4 | dripping crystalline spears
themed Bavarian-painted facade | 0.65 | 0.3-0.6 | floral motif rendered wall
fluttering ski-resort banner | 0.65 | 0.2-0.5 | colored vinyl flag
distant snow-cat groomer | 0.5 | 0.2-0.4 | tracked grooming machine
