# format: print_name | probability | compatible_slots | formality_min-formality_max
floral print | 0.65 | top,bottom | 0.0-0.3
ditsy daisy pattern | 0.55 | top,bottom | 0.0-0.3
band graphic | 0.60 | top,outerwear | 0.0-0.3
solid color-block | 0.75 | top,bottom,outerwear | 0.0-0.3
checkered pattern | 0.55 | bottom,outerwear | 0.0-0.3
animal-print accents | 0.50 | top,bottom,bag | 0.0-0.3
heart graphic | 0.50 | top | 0.0-0.3
butterfly graphic | 0.45 | top,outerwear | 0.0-0.3
striped pattern | 0.55 | top | 0.0-0.3
pastel tie-dye | 0.50 | top,outerwear | 0.0-0.3
metallic foil graphic | 0.40 | top | 0.0-0.3
plaid pattern | 0.50 | bottom,outerwear | 0.0-0.3
