# element: background
# format: name | probability | coverage_range | texture

red CVS pharmacy storefront | 0.85 | 0.4-0.8 | branded red signage on stucco
Walgreens chain pharmacy facade | 0.55 | 0.4-0.8 | beige stucco with red lettering
strip mall row of small shops | 0.7 | 0.4-0.8 | uniform single-story retail
sun-bleached pharmacy logo sign | 0.9 | 0.2-0.5 | tall pylon sign at street
adjacent nail salon storefront | 0.5 | 0.2-0.5 | vinyl-lettered window
asphalt parking lot expanse | 1.0 | 0.5-1.0 | cracked dark pavement
distant traffic light intersection | 0.55 | 0.2-0.4 | suspended signal heads
adjacent dry cleaner shop | 0.45 | 0.2-0.4 | small storefront with vent
back-lot loading bay | 0.5 | 0.2-0.4 | concrete dock with rollup door
sparse landscape island with shrubs | 0.7 | 0.2-0.4 | mulched curbed planter
overhead light poles in lot | 0.85 | 0.1-0.3 | tall steel fixtures
office building behind lot | 0.4 | 0.2-0.4 | flat-roofed beige facade
