# slot: footwear
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

pointed-toe pumps | 0.90 | 0.45-0.7 | leather,suede
stiletto pumps | 0.85 | 0.45-0.7 | leather,suede
sleek pumps | 0.75 | 0.45-0.7 | leather,suede
very-high stiletto pumps | 0.70 | 0.45-0.7 | leather,suede
patent pumps | 0.65 | 0.45-0.7 | leather
platform stilettos | 0.65 | 0.45-0.7 | leather,suede
ankle-strap pumps | 0.60 | 0.45-0.7 | leather,suede
high-heel pumps | 0.55 | 0.45-0.7 | leather,suede
crystal-embellished pumps | 0.50 | 0.45-0.7 | leather,suede
bow pumps | 0.45 | 0.45-0.7 | satin,leather
almond-toe pumps | 0.45 | 0.45-0.7 | leather,suede
classic pumps | 0.40 | 0.45-0.7 | leather,suede
mary jane pumps | 0.40 | 0.45-0.7 | leather,suede
