# slot: bottom
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

low-rise mini skirt | 0.90 | 0.45-0.7 | denim,polyester
mini skirt | 0.85 | 0.45-0.7 | polyester,satin
pleated mini skirt | 0.75 | 0.45-0.7 | polyester
ruched mini skirt | 0.70 | 0.45-0.7 | satin,polyester
faded mini skirt | 0.60 | 0.45-0.65 | denim
dark wash mini skirt | 0.60 | 0.45-0.7 | denim
short A-line skirt | 0.55 | 0.45-0.7 | polyester
button-front mini skirt | 0.55 | 0.45-0.7 | denim,cotton
wrap mini skirt | 0.50 | 0.45-0.7 | polyester,satin
skater mini skirt | 0.50 | 0.45-0.65 | polyester,jersey
draped mini skirt | 0.45 | 0.45-0.7 | satin,polyester
bandage mini skirt | 0.55 | 0.45-0.7 | polyester,spandex
