# format: fabric_name | formality | family | weight

polyester | 0.5 | synthetic | medium
satin | 0.8 | synthetic | light
cotton | 0.6 | natural | medium
jersey | 0.5 | knit | medium
spandex | 0.3 | synthetic | light
denim | 0.4 | natural | heavy
mesh | 0.4 | synthetic | light
nylon | 0.5 | synthetic | light
leather | 0.7 | animal | medium
suede | 0.7 | animal | medium
wool | 0.8 | natural | medium
crepe | 0.7 | synthetic | medium
silk | 0.9 | natural | light
fleece | 0.3 | synthetic | heavy
metal | 0.7 | accessories | light
