# slot: footwear
# format: garment_name | probability | formality_min-formality_max | fabric1,fabric2,...

stiletto pumps | 0.90 | 0.6-0.85 | suede,patent
pointed-toe pumps | 0.85 | 0.6-0.85 | suede,patent
classic pumps | 0.75 | 0.6-0.85 | suede,patent
high-heel pumps | 0.75 | 0.6-0.85 | suede,patent
almond-toe pumps | 0.60 | 0.6-0.85 | suede,patent
sleek pumps | 0.60 | 0.6-0.85 | suede,patent
very-high stiletto pumps | 0.55 | 0.65-0.85 | suede,patent
patent pumps | 0.55 | 0.6-0.85 | leather
court shoes | 0.50 | 0.6-0.85 | suede,patent
platform stilettos | 0.45 | 0.65-0.85 | suede,patent
mid-heel pumps | 0.45 | 0.6-0.8 | suede,patent
